Product,Brand,Category,Subcategory,Recorded size,Unit,Source URL,Source HTTP status,Variant/package assurance,Barcode,Prices,Supplier
Smirnoff Red Label,Smirnoff,Spirits,Vodka,750ml,bottle,https://glovoapp.com/ke/en/nanyuki/chandarana-foodplus-nanyuki-nyk/?content=alcohol-sc.12803164/the-spirits-c.12803161,200,Unverified physical pack; source-linked candidate,Not supplied; owner must verify,Unset — owner entry only,Not supplied; owner must assign
Smirnoff Red Label,Smirnoff,Spirits,Vodka,1L,bottle,https://glovoapp.com/ke/en/nanyuki/chandarana-foodplus-nanyuki-nyk/?content=alcohol-sc.12803164/the-spirits-c.12803161,200,Unverified physical pack; source-linked candidate,Not supplied; owner must verify,Unset — owner entry only,Not supplied; owner must assign
Chrome Original Vodka,Chrome,Spirits,Vodka,250ml,bottle,https://glovoapp.com/ke/en/nanyuki/chandarana-foodplus-nanyuki-nyk/?content=alcohol-sc.12803164/the-spirits-c.12803161,200,Unverified physical pack; source-linked candidate,Not supplied; owner must verify,Unset — owner entry only,Not supplied; owner must assign
Chrome Original Vodka,Chrome,Spirits,Vodka,750ml,bottle,https://glovoapp.com/ke/en/nanyuki/chandarana-foodplus-nanyuki-nyk/?content=alcohol-sc.12803164/the-spirits-c.12803161,200,Unverified physical pack; source-linked candidate,Not supplied; owner must verify,Unset — owner entry only,Not supplied; owner must assign
Chrome Lemon Vodka,Chrome,Spirits,Vodka,250ml,bottle,https://glovoapp.com/ke/en/nanyuki/chandarana-foodplus-nanyuki-nyk/?content=alcohol-sc.12803164/the-spirits-c.12803161,200,Unverified physical pack; source-linked candidate,Not supplied; owner must verify,Unset — owner entry only,Not supplied; owner must assign
Ketel One Vodka,Ketel One,Spirits,Vodka,750ml,bottle,https://glovoapp.com/ke/en/nanyuki/chandarana-foodplus-nanyuki-nyk/?content=alcohol-sc.12803164/the-spirits-c.12803161,200,Unverified physical pack; source-linked candidate,Not supplied; owner must verify,Unset — owner entry only,Not supplied; owner must assign
Leleshwa Vodka,Leleshwa,Spirits,Vodka,750ml,bottle,https://glovoapp.com/ke/en/nanyuki/chandarana-foodplus-nanyuki-nyk/?content=alcohol-sc.12803164/the-spirits-c.12803161,200,Unverified physical pack; source-linked candidate,Not supplied; owner must verify,Unset — owner entry only,Not supplied; owner must assign
Gilbey's London Dry Gin,Gilbey's,Spirits,Gin,250ml,bottle,https://glovoapp.com/ke/en/nanyuki/chandarana-foodplus-nanyuki-nyk/?content=alcohol-sc.12803164/the-spirits-c.12803161,200,Unverified physical pack; source-linked candidate,Not supplied; owner must verify,Unset — owner entry only,Not supplied; owner must assign
Gilbey's London Dry Gin,Gilbey's,Spirits,Gin,350ml,bottle,https://glovoapp.com/ke/en/nanyuki/chandarana-foodplus-nanyuki-nyk/?content=alcohol-sc.12803164/the-spirits-c.12803161,200,Unverified physical pack; source-linked candidate,Not supplied; owner must verify,Unset — owner entry only,Not supplied; owner must assign
Gordon's London Dry Gin,Gordon's,Spirits,Gin,350ml,bottle,https://glovoapp.com/ke/en/nanyuki/chandarana-foodplus-nanyuki-nyk/?content=alcohol-sc.12803164/the-spirits-c.12803161,200,Unverified physical pack; source-linked candidate,Not supplied; owner must verify,Unset — owner entry only,Not supplied; owner must assign
Best London Dry Gin,Best,Spirits,Gin,250ml,bottle,https://glovoapp.com/ke/en/nanyuki/chandarana-foodplus-nanyuki-nyk/?content=alcohol-sc.12803164/the-spirits-c.12803161,200,Unverified physical pack; source-linked candidate,Not supplied; owner must verify,Unset — owner entry only,Not supplied; owner must assign
Best London Dry Gin,Best,Spirits,Gin,750ml,bottle,https://glovoapp.com/ke/en/nanyuki/chandarana-foodplus-nanyuki-nyk/?content=alcohol-sc.12803164/the-spirits-c.12803161,200,Unverified physical pack; source-linked candidate,Not supplied; owner must verify,Unset — owner entry only,Not supplied; owner must assign
Malfy Originale Gin,Malfy,Spirits,Gin,700ml,bottle,https://glovoapp.com/ke/en/nanyuki/chandarana-foodplus-nanyuki-nyk/?content=alcohol-sc.12803164/the-spirits-c.12803161,200,Unverified physical pack; source-linked candidate,Not supplied; owner must verify,Unset — owner entry only,Not supplied; owner must assign
