Requirement,Existing,Verified,Gap,Action,Status
"R01 Repository tree, documentation, configuration, all source and tests",Yes,87-file source/action inventory; fresh baseline commands,Documentation is not executable evidence,"Compared actual routes, triggers, code paths and tests; retained existing architecture",Verified
R02 Fast Kenyan beverage POS and management domains,Yes,Baseline plus 86 API/unit/client tests and 8 browser scenarios,Specific weaknesses below,"Extended existing POS, inventory, accounting, approvals and reports",Verified software
R03 / R09 Staff Accountant: Sales,Yes,api-completion.test.ts authenticated accountant + independent owner journey,Baseline coverage was narrower than the requested role matrix,"Exercised real HTTP creation, posted effects and review",Verified
R03 / R09 Staff Accountant: Expenses,Yes,api-completion.test.ts authenticated accountant + independent owner journey,Baseline coverage was narrower than the requested role matrix,"Exercised real HTTP creation, posted effects and review",Verified
R03 / R09 Staff Accountant: Stock receiving / purchases,Yes,api-completion.test.ts authenticated accountant + independent owner journey,Baseline coverage was narrower than the requested role matrix,"Exercised real HTTP creation, posted effects and review",Verified
R03 / R09 Staff Accountant: Stock counts,Yes,api-completion.test.ts authenticated accountant + independent owner journey,Baseline coverage was narrower than the requested role matrix,"Exercised real HTTP creation, posted effects and review",Verified
R03 / R09 Staff Accountant: Wastage,Yes,api-completion.test.ts authenticated accountant + independent owner journey,Baseline coverage was narrower than the requested role matrix,"Exercised real HTTP creation, posted effects and review",Verified
R03 / R09 Staff Accountant: Reconciliation,Yes,api-completion.test.ts authenticated accountant + independent owner journey,Baseline coverage was narrower than the requested role matrix,"Exercised real HTTP creation, posted effects and review",Verified
R03 / R09 Deny staff: Delete sales,Yes,api-completion + second-pass-security + hardening tests,REPLACE defence and report-override preservation needed strengthening,Server denials and immutable history verified; closed S01/S02/S03/S05,Verified / hardened
R03 / R09 Deny staff: Delete expenses,Yes,api-completion + second-pass-security + hardening tests,REPLACE defence and report-override preservation needed strengthening,Server denials and immutable history verified; closed S01/S02/S03/S05,Verified / hardened
R03 / R09 Deny staff: Delete purchases,Yes,api-completion + second-pass-security + hardening tests,REPLACE defence and report-override preservation needed strengthening,Server denials and immutable history verified; closed S01/S02/S03/S05,Verified / hardened
R03 / R09 Deny staff: Delete stock movements,Yes,api-completion + second-pass-security + hardening tests,REPLACE defence and report-override preservation needed strengthening,Server denials and immutable history verified; closed S01/S02/S03/S05,Verified / hardened
R03 / R09 Deny staff: Rewrite historical transactions,Yes,api-completion + second-pass-security + hardening tests,REPLACE defence and report-override preservation needed strengthening,Server denials and immutable history verified; closed S01/S02/S03/S05,Verified / hardened
R03 / R09 Deny staff: Alter audit logs,Yes,api-completion + second-pass-security + hardening tests,REPLACE defence and report-override preservation needed strengthening,Server denials and immutable history verified; closed S01/S02/S03/S05,Verified / hardened
R03 / R09 Deny staff: Approve own requests,Yes,api-completion + second-pass-security + hardening tests,REPLACE defence and report-override preservation needed strengthening,Server denials and immutable history verified; closed S01/S02/S03/S05,Verified / hardened
R03 / R09 Deny staff: Bypass approval controls,Yes,api-completion + second-pass-security + hardening tests,REPLACE defence and report-override preservation needed strengthening,Server denials and immutable history verified; closed S01/S02/S03/S05,Verified / hardened
R03 / R09 Deny staff: Change permissions / manage administrators,Yes,api-completion + second-pass-security + hardening tests,REPLACE defence and report-override preservation needed strengthening,Server denials and immutable history verified; closed S01/S02/S03/S05,Verified / hardened
R03 Error → request → independent review → append-only correction,Yes,"API journey, 8 browser scenarios, original-record and journal assertions",Zero-cent returns and rejected receiving were incomplete,Added exact cumulative refund handling and linked purchase replacements,Fixed and verified
R04 Approval metadata/control: Request ID and original reference,Yes,approvals tests; api-completion; CSV export inspection,Receiving outcome narrative and export metadata were incomplete,"Preserved/extended existing requests, events and report columns",Verified / extended
R04 Approval metadata/control: Requester and reason,Yes,approvals tests; api-completion; CSV export inspection,Receiving outcome narrative and export metadata were incomplete,"Preserved/extended existing requests, events and report columns",Verified / extended
R04 Approval metadata/control: Explanation / requested outcome,Yes,approvals tests; api-completion; CSV export inspection,Receiving outcome narrative and export metadata were incomplete,"Preserved/extended existing requests, events and report columns",Verified / extended
R04 Approval metadata/control: Reviewer / decision / timestamp,Yes,approvals tests; api-completion; CSV export inspection,Receiving outcome narrative and export metadata were incomplete,"Preserved/extended existing requests, events and report columns",Verified / extended
R04 Approval metadata/control: Immutable audit link,Yes,approvals tests; api-completion; CSV export inspection,Receiving outcome narrative and export metadata were incomplete,"Preserved/extended existing requests, events and report columns",Verified / extended
R04 Approval metadata/control: Clarify / requester reply,Yes,approvals tests; api-completion; CSV export inspection,Receiving outcome narrative and export metadata were incomplete,"Preserved/extended existing requests, events and report columns",Verified / extended
R04 Approval metadata/control: Reject without financial execution,Yes,approvals tests; api-completion; CSV export inspection,Receiving outcome narrative and export metadata were incomplete,"Preserved/extended existing requests, events and report columns",Verified / extended
R05 Catalogue: Spirits / Whisky,Yes,catalogue.ts and 140-row evidence register,Physical packages are not certified by source links,Retained sourced candidates; did not invent sizes or variants,Present; owner confirmation required
R05 Catalogue: Spirits / Vodka,Yes,catalogue.ts and 140-row evidence register,Physical packages are not certified by source links,Retained sourced candidates; did not invent sizes or variants,Present; owner confirmation required
R05 Catalogue: Spirits / Gin,Yes,catalogue.ts and 140-row evidence register,Physical packages are not certified by source links,Retained sourced candidates; did not invent sizes or variants,Present; owner confirmation required
R05 Catalogue: Spirits / Rum,Yes,catalogue.ts and 140-row evidence register,Physical packages are not certified by source links,Retained sourced candidates; did not invent sizes or variants,Present; owner confirmation required
R05 Catalogue: Spirits / Brandy,Yes,catalogue.ts and 140-row evidence register,Physical packages are not certified by source links,Retained sourced candidates; did not invent sizes or variants,Present; owner confirmation required
R05 Catalogue: Spirits / Cognac,Yes,catalogue.ts and 140-row evidence register,Physical packages are not certified by source links,Retained sourced candidates; did not invent sizes or variants,Present; owner confirmation required
