"Product","Brand","Category","Subcategory","Verified package size","Unit","Source URL","Setup requirement"
"Smirnoff Red Label","Smirnoff","Spirits","Vodka","750ml","bottle","https://glovoapp.com/ke/en/nanyuki/chandarana-foodplus-nanyuki-nyk/?content=alcohol-sc.12803164/the-spirits-c.12803161","Owner prices, tax, barcode and stock required"
"Smirnoff Red Label","Smirnoff","Spirits","Vodka","1L","bottle","https://glovoapp.com/ke/en/nanyuki/chandarana-foodplus-nanyuki-nyk/?content=alcohol-sc.12803164/the-spirits-c.12803161","Owner prices, tax, barcode and stock required"
"Chrome Original Vodka","Chrome","Spirits","Vodka","250ml","bottle","https://glovoapp.com/ke/en/nanyuki/chandarana-foodplus-nanyuki-nyk/?content=alcohol-sc.12803164/the-spirits-c.12803161","Owner prices, tax, barcode and stock required"
"Chrome Original Vodka","Chrome","Spirits","Vodka","750ml","bottle","https://glovoapp.com/ke/en/nanyuki/chandarana-foodplus-nanyuki-nyk/?content=alcohol-sc.12803164/the-spirits-c.12803161","Owner prices, tax, barcode and stock required"
"Chrome Lemon Vodka","Chrome","Spirits","Vodka","250ml","bottle","https://glovoapp.com/ke/en/nanyuki/chandarana-foodplus-nanyuki-nyk/?content=alcohol-sc.12803164/the-spirits-c.12803161","Owner prices, tax, barcode and stock required"
"Ketel One Vodka","Ketel One","Spirits","Vodka","750ml","bottle","https://glovoapp.com/ke/en/nanyuki/chandarana-foodplus-nanyuki-nyk/?content=alcohol-sc.12803164/the-spirits-c.12803161","Owner prices, tax, barcode and stock required"
"Leleshwa Vodka","Leleshwa","Spirits","Vodka","750ml","bottle","https://glovoapp.com/ke/en/nanyuki/chandarana-foodplus-nanyuki-nyk/?content=alcohol-sc.12803164/the-spirits-c.12803161","Owner prices, tax, barcode and stock required"
"Gilbey's London Dry Gin","Gilbey's","Spirits","Gin","250ml","bottle","https://glovoapp.com/ke/en/nanyuki/chandarana-foodplus-nanyuki-nyk/?content=alcohol-sc.12803164/the-spirits-c.12803161","Owner prices, tax, barcode and stock required"
"Gilbey's London Dry Gin","Gilbey's","Spirits","Gin","350ml","bottle","https://glovoapp.com/ke/en/nanyuki/chandarana-foodplus-nanyuki-nyk/?content=alcohol-sc.12803164/the-spirits-c.12803161","Owner prices, tax, barcode and stock required"
"Gordon's London Dry Gin","Gordon's","Spirits","Gin","350ml","bottle","https://glovoapp.com/ke/en/nanyuki/chandarana-foodplus-nanyuki-nyk/?content=alcohol-sc.12803164/the-spirits-c.12803161","Owner prices, tax, barcode and stock required"
"Best London Dry Gin","Best","Spirits","Gin","250ml","bottle","https://glovoapp.com/ke/en/nanyuki/chandarana-foodplus-nanyuki-nyk/?content=alcohol-sc.12803164/the-spirits-c.12803161","Owner prices, tax, barcode and stock required"
"Best London Dry Gin","Best","Spirits","Gin","750ml","bottle","https://glovoapp.com/ke/en/nanyuki/chandarana-foodplus-nanyuki-nyk/?content=alcohol-sc.12803164/the-spirits-c.12803161","Owner prices, tax, barcode and stock required"
"Malfy Originale Gin","Malfy","Spirits","Gin","700ml","bottle","https://glovoapp.com/ke/en/nanyuki/chandarana-foodplus-nanyuki-nyk/?content=alcohol-sc.12803164/the-spirits-c.12803161","Owner prices, tax, barcode and stock required"
"Malfy Gin Con Limone","Malfy","Spirits","Gin","750ml","bottle","https://glovoapp.com/ke/en/nanyuki/chandarana-foodplus-nanyuki-nyk/?content=alcohol-sc.12803164/the-spirits-c.12803161","Owner prices, tax, barcode and stock required"
"KO 58 Spiced Orange Gin","Kenyan Originals","Spirits","Gin","750ml","bottle","https://glovoapp.com/ke/en/nanyuki/chandarana-foodplus-nanyuki-nyk/?content=alcohol-sc.12803164/the-spirits-c.12803161","Owner prices, tax, barcode and stock required"
"Gibson's Pink Gin","Gibson's","Spirits","Gin","700ml","bottle","https://glovoapp.com/ke/en/nanyuki/chandarana-foodplus-nanyuki-nyk/?content=alcohol-sc.12803164/the-spirits-c.12803161","Owner prices, tax, barcode and stock required"
"Kenya Cane","Kenya Cane","Spirits","Local spirits","250ml","bottle","https://glovoapp.com/ke/en/nanyuki/chandarana-foodplus-nanyuki-nyk/?content=alcohol-sc.12803164/the-spirits-c.12803161","Owner prices, tax, barcode and stock required"
"Kenya Cane Pineapple Fusion","Kenya Cane","Spirits","Local spirits","250ml","bottle","https://glovoapp.com/ke/en/nanyuki/chandarana-foodplus-nanyuki-nyk/?content=alcohol-sc.12803164/the-spirits-c.12803161","Owner prices, tax, barcode and stock required"
"Kenya Cane Pineapple Fusion","Kenya Cane","Spirits","Local spirits","750ml","bottle","https://glovoapp.com/ke/en/nanyuki/chandarana-foodplus-nanyuki-nyk/?content=alcohol-sc.12803164/the-spirits-c.12803161","Owner prices, tax, barcode and stock required"
"Captain Morgan Gold","Captain Morgan","Spirits","Rum","750ml","bottle","https://glovoapp.com/ke/en/nanyuki/chandarana-foodplus-nanyuki-nyk/?content=alcohol-sc.12803164/the-spirits-c.12803161","Owner prices, tax, barcode and stock required"
"Malibu Caribbean Rum","Malibu","Spirits","Rum","700ml","bottle","https://glovoapp.com/ke/en/nanyuki/chandarana-foodplus-nanyuki-nyk/?content=alcohol-sc.12803164/the-spirits-c.12803161","Owner prices, tax, barcode and stock required"
"Napoleon Gold Brandy","Napoleon","Spirits","Brandy","750ml","bottle","https://glovoapp.com/ke/en/nanyuki/chandarana-foodplus-nanyuki-nyk/?content=alcohol-sc.12803164/the-spirits-c.12803161","Owner prices, tax, barcode and stock required"
"Hennessy Very Special","Hennessy","Spirits","Cognac","350ml","bottle","https://glovoapp.com/ke/en/nanyuki/chandarana-foodplus-nanyuki-nyk/?content=alcohol-sc.12803164/the-spirits-c.12803161","Owner prices, tax, barcode and stock required"
"Hennessy VSOP","Hennessy","Spirits","Cognac","700ml","bottle","https://glovoapp.com/ke/en/nanyuki/chandarana-foodplus-nanyuki-nyk/?content=alcohol-sc.12803164/the-spirits-c.12803161","Owner prices, tax, barcode and stock required"
"Martell VS","Martell","Spirits","Cognac","700ml","bottle","https://glovoapp.com/ke/en/nanyuki/chandarana-foodplus-nanyuki-nyk/?content=alcohol-sc.12803164/the-spirits-c.12803161","Owner prices, tax, barcode and stock required"
"Martell Blue Swift","Martell","Spirits","Brandy","750ml","bottle","https://glovoapp.com/ke/en/nanyuki/chandarana-foodplus-nanyuki-nyk/?content=alcohol-sc.12803164/the-spirits-c.12803161","Owner prices, tax, barcode and stock required"
"Olmeca Gold Tequila","Olmeca","Spirits","Tequila","700ml","bottle","https://glovoapp.com/ke/en/nanyuki/chandarana-foodplus-nanyuki-nyk/?content=alcohol-sc.12803164/the-spirits-c.12803161","Owner prices, tax, barcode and stock required"
"Baileys Original Irish Cream","Baileys","Spirits","Cream liqueurs","1L","bottle","https://glovoapp.com/ke/en/nanyuki/chandarana-foodplus-nanyuki-nyk/?content=alcohol-sc.12803164/the-spirits-c.12803161","Owner prices, tax, barcode and stock required"
"VAT 69 Blended Scotch","VAT 69","Spirits","Whisky","750ml","bottle","https://glovoapp.com/ke/en/nanyuki/chandarana-foodplus-nanyuki-nyk/?content=alcohol-sc.12803164/the-spirits-c.12803161","Owner prices, tax, barcode and stock required"
"Monkey Shoulder Blended Malt","Monkey Shoulder","Spirits","Whisky","700ml","bottle","https://glovoapp.com/ke/en/nanyuki/chandarana-foodplus-nanyuki-nyk/?content=alcohol-sc.12803164/the-spirits-c.12803161","Owner prices, tax, barcode and stock required"
"Grant's Triple Wood","Grant's","Spirits","Whisky","750ml","bottle","https://glovoapp.com/ke/en/nanyuki/chandarana-foodplus-nanyuki-nyk/?content=alcohol-sc.12803164/the-spirits-c.12803161","Owner prices, tax, barcode and stock required"
"Hunter's Choice Whisky","Hunter's Choice","Spirits","Whisky","350ml","bottle","https://glovoapp.com/ke/en/nanyuki/chandarana-foodplus-nanyuki-nyk/?content=alcohol-sc.12803164/the-spirits-c.12803161","Owner prices, tax, barcode and stock required"
"Jack Daniel's Tennessee Fire","Jack Daniel's","Spirits","Whisky","700ml","bottle","https://glovoapp.com/ke/en/nanyuki/chandarana-foodplus-nanyuki-nyk/?content=alcohol-sc.12803164/the-spirits-c.12803161","Owner prices, tax, barcode and stock required"
"Martini Rosso Vermouth","Martini","Wines","Fortified wine","750ml","bottle","https://glovoapp.com/ke/en/nanyuki/chandarana-foodplus-nanyuki-nyk/?content=alcohol-sc.12803164/the-spirits-c.12803161","Owner prices, tax, barcode and stock required"
"Johnnie Walker Black Label","Johnnie Walker","Spirits","Whisky","250ml","bottle","https://www.oaks.delivery/product/johnnie-walker-black-label-1l/","Owner prices, tax, barcode and stock required"
"Johnnie Walker Black Label","Johnnie Walker","Spirits","Whisky","375ml","bottle","https://www.oaks.delivery/product/johnnie-walker-black-label-1l/","Owner prices, tax, barcode and stock required"
"Johnnie Walker Black Label","Johnnie Walker","Spirits","Whisky","750ml","bottle","https://www.oaks.delivery/product/johnnie-walker-black-label-1l/","Owner prices, tax, barcode and stock required"
"Johnnie Walker Black Label","Johnnie Walker","Spirits","Whisky","1L","bottle","https://www.oaks.delivery/product/johnnie-walker-black-label-1l/","Owner prices, tax, barcode and stock required"
"Johnnie Walker Red Label","Johnnie Walker","Spirits","Whisky","750ml","bottle","https://www.oaks.delivery/product/johnnie-walker-black-label-1l/","Owner prices, tax, barcode and stock required"
"Johnnie Walker Red Label","Johnnie Walker","Spirits","Whisky","1L","bottle","https://www.oaks.delivery/product/johnnie-walker-black-label-1l/","Owner prices, tax, barcode and stock required"
"Jameson Irish Whiskey","Jameson","Spirits","Whisky","750ml","bottle","https://www.oaks.delivery/product/johnnie-walker-black-label-1l/","Owner prices, tax, barcode and stock required"
"Chivas Regal 12 Year Old","Chivas Regal","Spirits","Whisky","1L","bottle","https://www.oaks.delivery/product/johnnie-walker-black-label-1l/","Owner prices, tax, barcode and stock required"
"Johnnie Walker Red Label","Johnnie Walker","Spirits","Whisky","250ml","bottle","https://www.oaks.delivery/product/johnnie-walker-red-label-375ml/","Owner prices, tax, barcode and stock required"
"Johnnie Walker Red Label","Johnnie Walker","Spirits","Whisky","375ml","bottle","https://www.oaks.delivery/product/johnnie-walker-red-label-375ml/","Owner prices, tax, barcode and stock required"
"Black & White Blended Scotch","Black & White","Spirits","Whisky","750ml","bottle","https://www.oaks.delivery/product/johnnie-walker-red-label-375ml/","Owner prices, tax, barcode and stock required"
"Imperial Blue Whisky","Imperial Blue","Spirits","Whisky","750ml","bottle","https://www.oaks.delivery/product/johnnie-walker-red-label-375ml/","Owner prices, tax, barcode and stock required"
"Jameson Irish Whiskey","Jameson","Spirits","Whisky","1L","bottle","https://www.oaks.delivery/product/johnnie-walker-red-label-375ml/","Owner prices, tax, barcode and stock required"
"Glenfiddich 15 Year Old","Glenfiddich","Spirits","Whisky","1L","bottle","https://nairobidrinks.co.ke/whisky/","Owner prices, tax, barcode and stock required"
"Glenfiddich 18 Year Old","Glenfiddich","Spirits","Whisky","750ml","bottle","https://nairobidrinks.co.ke/whisky/","Owner prices, tax, barcode and stock required"
"Johnnie Walker Double Black","Johnnie Walker","Spirits","Whisky","1L","bottle","https://nairobidrinks.co.ke/whisky/","Owner prices, tax, barcode and stock required"
"Glenmorangie Original","Glenmorangie","Spirits","Whisky","750ml","bottle","https://nairobidrinks.co.ke/whisky/","Owner prices, tax, barcode and stock required"
"Glenmorangie Original","Glenmorangie","Spirits","Whisky","1L","bottle","https://nairobidrinks.co.ke/whisky/","Owner prices, tax, barcode and stock required"
"Glenmorangie Lasanta","Glenmorangie","Spirits","Whisky","750ml","bottle","https://nairobidrinks.co.ke/whisky/","Owner prices, tax, barcode and stock required"
"The Glenlivet Founder's Reserve","The Glenlivet","Spirits","Whisky","750ml","bottle","https://nairobidrinks.co.ke/whisky/","Owner prices, tax, barcode and stock required"
"The Glenlivet 12 Year Old","The Glenlivet","Spirits","Whisky","750ml","bottle","https://nairobidrinks.co.ke/whisky/","Owner prices, tax, barcode and stock required"
"The Glenlivet 12 Year Old","The Glenlivet","Spirits","Whisky","1L","bottle","https://nairobidrinks.co.ke/whisky/","Owner prices, tax, barcode and stock required"
"Konyagi","Konyagi","Spirits","Imported spirits","250ml","bottle","https://www.oaks.delivery/product/konyagi-750ml/","Owner prices, tax, barcode and stock required"
"Konyagi","Konyagi","Spirits","Imported spirits","500ml","bottle","https://www.oaks.delivery/product/konyagi-750ml/","Owner prices, tax, barcode and stock required"
"Konyagi","Konyagi","Spirits","Imported spirits","750ml","bottle","https://www.oaks.delivery/product/konyagi-750ml/","Owner prices, tax, barcode and stock required"
"Kenya Cane","Kenya Cane","Spirits","Local spirits","750ml","bottle","https://www.oaks.delivery/product/konyagi-750ml/","Owner prices, tax, barcode and stock required"
"Caribia Cane","Caribia","Spirits","Local spirits","750ml","bottle","https://www.oaks.delivery/product/konyagi-750ml/","Owner prices, tax, barcode and stock required"
"Kibao Vodka","Kibao","Spirits","Vodka","750ml","bottle","https://www.oaks.delivery/product-category/spirits/","Owner prices, tax, barcode and stock required"
"Aviation American Gin","Aviation","Spirits","Gin","750ml","bottle","https://www.oaks.delivery/product-category/spirits/","Owner prices, tax, barcode and stock required"
"Bacardi Breezer Strawberry","Bacardi","Beer & Cider","Alcopops","275ml","bottle","https://www.oaks.delivery/product-category/spirits/","Owner prices, tax, barcode and stock required"
"Amarula Cream Liqueur","Amarula","Spirits","Cream liqueurs","750ml","bottle","https://www.carrefour.ke/mafken/en/c/FKEN21030500","Owner prices, tax, barcode and stock required"
"Jägermeister Herbal Liqueur","Jägermeister","Spirits","Liqueurs","1L","bottle","https://www.carrefour.ke/mafken/en/c/FKEN21030500","Owner prices, tax, barcode and stock required"
"Baileys Original Irish Cream","Baileys","Spirits","Cream liqueurs","375ml","bottle","https://www.carrefour.ke/mafken/en/c/FKEN21030500","Owner prices, tax, barcode and stock required"
"4th Street Sweet Rosé","4th Street","Wines","Rosé","750ml","bottle","https://nairobidrinks.co.ke/wine/","Owner prices, tax, barcode and stock required"
"4th Street Sweet Rosé","4th Street","Wines","Rosé","1.5L","bottle","https://nairobidrinks.co.ke/wine/","Owner prices, tax, barcode and stock required"
"Asconi Kagor Lux","Asconi","Wines","Sweet wine","750ml","bottle","https://nairobidrinks.co.ke/wine/","Owner prices, tax, barcode and stock required"
"Harveys Bristol Cream Sherry","Harveys","Wines","Fortified wine","750ml","bottle","https://nairobidrinks.co.ke/wine/","Owner prices, tax, barcode and stock required"
"Harveys Bristol Cream Sherry","Harveys","Wines","Fortified wine","1L","bottle","https://nairobidrinks.co.ke/wine/","Owner prices, tax, barcode and stock required"
"Arbor Mist White Zinfandel Strawberry","Arbor Mist","Wines","Rosé","750ml","bottle","https://nairobidrinks.co.ke/wine/","Owner prices, tax, barcode and stock required"
"Arbor Mist Chardonnay Tropical Fruits","Arbor Mist","Wines","White wine","750ml","bottle","https://nairobidrinks.co.ke/wine/","Owner prices, tax, barcode and stock required"
"Ama La Vida White","Ama La Vida","Wines","White wine","750ml","bottle","https://nairobidrinks.co.ke/wine/","Owner prices, tax, barcode and stock required"
